TFUELUSDT||True|||||||||||2
TFUELUSDT|1010001011|True|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0,5 - 1|0,5 - 1|-0,25 - -0,5|-0,25 - -0,5|-0,25 - -0,5|-0,25 - -0,5|0,25 - 0,5|1
TFUELUSDT|1101000101|True|1 - 2|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0,5 - 1|1 - 2|-0,25 - -0,5|-0,25 - -0,5|-0,25 - -0,5|-0,25 - -0,5|1
TFUELUSDT|1110100010|True|0,5 - 1|1 - 2|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|2 - 3|1 - 2|-0,25 - -0,5|-0,25 - -0,5|-0,25 - -0,5|1
TFUELUSDT|1111010001|True|0,25 - 0,5|0,5 - 1|1 - 2|0,25 - 0,5|0,25 - 0,5|1 - 2|2 - 3|1 - 2|-0,25 - -0,5|-0,25 - -0,5|1
TFUELUSDT|1111101000|False|0,5 - 1|0,25 - 0,5|0,5 - 1|1 - 2|0,25 - 0,5|2 - 3|1 - 2|2 - 3|1 - 2|-0,25 - -0,5|1
TFUELUSDT|0111110100|True|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,5 - 1|1 - 2|3 - 4|2 - 3|1 - 2|2 - 3|1 - 2|1
TFUELUSDT|1011111010|False|0,5 - 1|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,5 - 1|2 - 3|3 - 4|2 - 3|1 - 2|2 - 3|1
TFUELUSDT|0101111101|False|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|0,25 - 0,5|2 - 3|2 - 3|3 - 4|2 - 3|1 - 2|1
TFUELUSDT|0010111110|True|1 - 2|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|1 - 2|2 - 3|2 - 3|3 - 4|2 - 3|1
TFUELUSDT|1001011111|True|0,5 - 1|1 - 2|0,5 - 1|0,5 - 1|0,25 - 0,5|0,0 - 0,25|1 - 2|2 - 3|2 - 3|3 - 4|1
TFUELUSDT|1100101111|False|0,25 - 0,5|0,5 - 1|1 - 2|0,5 - 1|0,5 - 1|-0,25 - -0,5|0,0 - 0,25|1 - 2|2 - 3|2 - 3|1
TFUELUSDT|0110010111|False|0,5 - 1|0,25 - 0,5|0,5 - 1|1 - 2|0,5 - 1|-0,5 - -1|-0,25 - -0,5|0,0 - 0,25|1 - 2|2 - 3|1
TFUELUSDT|0011001011|True|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,5 - 1|1 - 2|-1 - -2|-0,5 - -1|-0,25 - -0,5|0,0 - 0,25|1 - 2|1
TFUELUSDT|1001100101|True|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,5 - 1|0,0 - 0,25|-1 - -2|-0,5 - -1|-0,25 - -0,5|0,0 - 0,25|1
TFUELUSDT|1100110010|False|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|-1 - -2|-0,5 - -1|-0,25 - -0,5|1
TFUELUSDT|0110011001|True|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|-0,25 - -0,5|0,25 - 0,5|0,0 - 0,25|-1 - -2|-0,5 - -1|1
TFUELUSDT|1011001100|False|0,25 - 0,5|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|-0,25 - -0,5|0,25 - 0,5|0,0 - 0,25|-1 - -2|1
TFUELUSDT|0101100110|False|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|-0,25 - -0,5|0,25 - 0,5|0,0 - 0,25|1
TFUELUSDT|0010110011|False|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0,25 - 0,5|0 - -0,25|0,25 - 0,5|0,25 - 0,5|-0,25 - -0,5|0,25 - 0,5|1
TFUELUSDT|0001011001|True|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|-0,25 - -0,5|0 - -0,25|0,25 - 0,5|0,25 - 0,5|-0,25 - -0,5|1
TFUELUSDT|1000101100|True|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|0,25 - 0,5|-0,25 - -0,5|-0,25 - -0,5|0 - -0,25|0,25 - 0,5|0,25 - 0,5|1
TFUELUSDT|1100010110|False|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|0 - -0,25|-0,25 - -0,5|-0,25 - -0,5|0 - -0,25|0,25 - 0,5|1
TFUELUSDT|0110001011|True|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|-0,25 - -0,5|0 - -0,25|-0,25 - -0,5|-0,25 - -0,5|0 - -0,25|1
TFUELUSDT|1011000101|True|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,25 - 0,5|-0,25 - -0,5|0 - -0,25|-0,25 - -0,5|-0,25 - -0,5|1
TFUELUSDT|1101100010|True|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,25 - 0,5|-0,25 - -0,5|0 - -0,25|-0,25 - -0,5|1
TFUELUSDT|1110110001|True|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|-0,25 - -0,5|0 - -0,25|1
TFUELUSDT|1111011000|True|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|1 - 2|0,5 - 1|0,5 - 1|0,25 - 0,5|-0,25 - -0,5|1
TFUELUSDT|1111101100|False|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|1 - 2|1 - 2|0,5 - 1|0,5 - 1|0,25 - 0,5|1
TFUELUSDT|0111110110|False|0,5 - 1|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,25 - 0,5|1 - 2|1 - 2|1 - 2|0,5 - 1|0,5 - 1|1
TFUELUSDT|0011111011|True|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|1 - 2|0,5 - 1|1
